"session_id","user_id","cluster","avg_key_press_duration","flight_time","error_rate","typing_speed_chars_per_sec","mouse_avg_speed","mouse_acceleration","click_rate","scroll_speed","latitude","longitude","location_accuracy_m","login_hour","session_duration_min","time_since_last_login_min","num_active_apps","total_usage_min","foreground_switch_count","is_anomaly"
1,0,"slow_typist",0.615432725227299,0.430584123171477,3,1.74310480316572,9.13340509692636,-0.158499464040973,0,3.73795722420905,51.497742045204,-0.120175862663554,3,14,3.25897756523104,163.963811364863,2,3.13193949554148,1,0
2,0,"slow_typist",0.311363980242931,0.368797694733329,3,3.22928072402061,17.6049660945982,-0.965231255372737,0,8.3828045815465,51.5024778042973,-0.120548395129705,3,11,1.15262632278328,1.0561736969037,0,9.30368750788183,0,0
3,0,"slow_typist",0.158081088339092,0.143737313201653,7,2.05384827829461,5.55523982973041,0.0672397010030211,0,2.12388091093738,51.5008949043652,-0.122909699711624,3,19,13.8268065857855,124.224599236547,2,34.4401344957197,0,1
4,0,"slow_typist",0.427640111510674,0.574879720741521,1,2.80010750669933,6.47654499802867,0.470173005694865,1,5.90401160467176,51.4412987215133,-0.576814714846465,12.0464434191109,12,13.9953093681347,64.6362175627419,0,56.1745628324856,0,1
5,0,"slow_typist",0.478899564891522,0.192053341685585,2,1.53927804829628,4.73383822859394,0.686669285689217,3,3.63023681776868,51.4992997953172,-0.120378034456486,3.74282382894307,15,4.40734936993938,139.396385064758,1,3.27077680060416,2,1
6,0,"slow_typist",0.966088187773208,0.976537708180372,1,1.57277540010614,16.7280189806361,-0.0620663208977042,2,8.50783840793877,51.499658520513,-0.121812745255758,3.48692043331577,8,2.87417836410974,26.9130253514156,2,70.9619062745899,1,1
7,0,"slow_typist",0.316767934378819,0.289431447841962,2,2.56554825757429,14.2478517934127,-0.390770219908899,2,4.58316467753469,51.4999393583971,-0.122558891954882,13.0312267966093,9,15.5268848136635,113.227386695522,0,10.2561566352964,1,0
8,0,"slow_typist",0.558871619925605,0.384692665409414,4,0.913847229944742,6.0915376602231,-0.42043066212646,3,5.00818130985489,51.5011308729872,-0.12028488294213,3.47008284181356,14,5.95885260111648,17.713354379863,2,13.5598543100651,2,0
9,0,"slow_typist",0.276170064999347,0.103927412118853,4,1.33239072572148,7.0862755839745,-2.41434614353432,2,4.88354264695388,51.5011275513047,-0.117393270488361,21.4789891044114,10,19.498061621794,100.038217458018,3,12.5717632496948,2,0
10,0,"slow_typist",0.193043124571414,0.385602946239377,2,3.07357325658664,12.4460487797522,0.582474014137482,3,6.68929123924344,51.5014362724121,-0.119021085964315,7.70550301981383,9,30.9914891258535,34.7446867864585,3,6.97578406901362,1,1
11,0,"slow_typist",0.278380972281659,0.11699282435729,2,1.92301513751548,17.6971619460268,-0.0593933559702237,1,4.38322589186417,51.4970357679424,-0.11576084484356,3,15,4.11403009601504,102.439004271131,2,8.14916579066986,1,1
12,0,"slow_typist",0.355141152609446,0.504159083274177,3,2.02736797505241,3.72717756611538,-0.104924861407227,0,2.7051970013744,51.4989128667617,-0.120209941626651,30.4472558328163,14,5.58264917155753,45.4745111539943,2,34.6275076210403,0,0
13,1,"slow_typist",1.08267319557413,0.1728836885225,5,1.45800757620985,17.2443729998118,0.364284049240991,3,6.2817486211543,51.5022141809985,-0.119653468153399,12.6099978662552,7,6.27818381085233,12.8717215585482,2,34.6411394456776,2,1
14,1,"slow_typist",0.59784855299382,0.274377099233841,1,2.67922326648719,7.63512724101317,-1.42482900812202,0,5.81555800148145,51.4967838796501,-0.123899567592084,11.5980616021426,14,7.58184002372552,95.2395866456564,1,10.9574791006949,0,0
15,1,"slow_typist",0.425394732172348,0.336604435058107,5,1.50845552793961,13.2233146945552,0.483682901380645,1,6.16236112010468,51.4982696758465,-0.121915514566544,3,14,14.4759253850133,103.402838251597,3,34.0566526286814,1,1
16,1,"slow_typist",0.275000471960273,0.445613885272791,4,2.18891950862223,19.6637717391126,-0.0603209292460296,2,7.27336284430354,51.5057018378663,-0.12046444273977,3,23,14.8790249961779,66.9723921748324,7,14.4052951511517,3,1
17,1,"slow_typist",0.17538887860161,0.177275993712769,1,2.65596197318354,8.57218250045177,-0.00984324848165046,2,3.66303160043153,51.4978647250516,-0.118909153084598,3,12,14.1662468257446,44.1047371124728,0,32.4924869448916,0,0
18,1,"slow_typist",0.707735224715438,0.350119818310577,1,2.63971750129888,18.2495644315783,0.178816972699567,0,5.49249821256404,51.4948923502981,-0.120471867898668,12.8354949872465,0,12.1966441592839,17.3409976474322,3,14.4260009861919,0,0
19,1,"slow_typist",0.123162689183426,1.34794757413457,4,2.34575870108673,30.8592878052247,1.59162471712106,1,5.90520617362311,51.4984618507823,-0.125367010964005,5.30560687243829,10,8.79011133479546,26.5800940718884,2,16.1744281015974,1,1
20,1,"slow_typist",0.377150737052469,0.14751270360685,2,1.79316406212064,18.2964964574147,0.578890099247091,0,9.1146275700555,51.5017603598024,-0.120389727213552,3,11,10.1522877467383,126.204068449622,0,27.3435254234793,0,0
21,1,"slow_typist",0.253528625442806,0.267906017228913,4,1.38236021835194,13.459079818552,-1.33145180723868,0,9.00121803362376,51.5002670076717,-0.121320836551301,4.55562155693769,13,2.56400193493596,20.8921857139678,0,8.03032556272605,0,1
22,1,"slow_typist",0.236486953565293,0.173765940003446,6,2.36003528339468,8.92756357448429,-1.04184421009049,4,5.50545884928778,51.5029187843283,-0.120441310902269,3.86543631087989,8,15.4215575497219,74.807021823571,2,13.1764904154063,4,1
